Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
29,P.S. 132 - QUEENS,DIIT - RESOA,Purch & Install,Complete,04/26/2017,01/15/2018,07/21/2017
29,P.S. 134 - QUEENS,DOE - Lead Paint,Construction,Complete,02/08/2017,DOEL,05/15/2017
29,P.S. 134 - QUEENS,DOE - Lead Paint,Construction,In-Progress,02/08/2017,DOEL,
29,P.S. 136 - QUEENS,SCA CIP RESOA,Scope,Complete,01/09/2017,04/10/2017,02/15/2017
29,P.S. 136 - QUEENS,SCA CIP RESOA,Design,Complete,02/16/2017,07/03/2017,05/05/2017
29,P.S. 136 - QUEENS,SCA CIP RESOA,Construction,Complete,06/28/2017,12/24/2017,12/20/2017
29,P.S. 136 - QUEENS,SCA CIP RESOA,"CM, F&E",Complete,06/28/2017,12/24/2017,12/20/2017
29,P.S. 136 - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
29,P.S. 136 - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
29,P.S. 136 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,P.S. 136 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,P.S. 136 - QUEENS,SCA IEH,Construction,In-Progress,12/15/2017,IEH,
29,P.S. 136 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,09/11/2017,DOES,
29,P.S. 138 - QUEENS,SCA IEH,Construction,Complete,06/20/2017,IEH,07/29/2017
29,P.S. 138 - QUEENS,DIIT - PBX Telephone,Purch & Install,Complete,07/01/2017,06/30/2018,09/25/2017
29,P.S. 138 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/16/2017,01/15/2018,07/07/2017
29,P.S. 138 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,09/11/2017,DOES,
29,P.S. 147 - QUEENS,SCA CIP RESOA,Scope,Complete,02/14/2017,05/15/2017,06/16/2017
29,P.S. 147 - QUEENS,SCA CIP RESOA,Design,In-Progress,06/28/2017,11/14/2017,
29,P.S. 147 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,P.S. 147 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,P.S. 147 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,09/11/2017,DOES,
29,P.S. 156 - QUEENS,SCA CIP,Scope,Complete,03/15/2016,06/13/2016,05/26/2016
29,P.S. 156 - QUEENS,SCA CIP,Design,Complete,06/21/2016,11/04/2016,09/01/2016
29,P.S. 156 - QUEENS,SCA CIP,Construction,In-Progress,04/10/2017,07/03/2018,
29,P.S. 156 - QUEENS,SCA CIP,"CM, F&E",In-Progress,04/10/2017,07/03/2018,
29,QUEENS UNITED MIDDLE SCHOOL,DIIT - RESOA,Purch & Install,Complete,05/26/2017,01/15/2018,09/12/2017
29,P.S. 176 - QUEENS,SCA Capacity,Scope,Complete,09/18/2012,03/07/2013,03/05/2013
29,P.S. 176 - QUEENS,SCA Capacity,Design,Complete,03/06/2013,09/24/2013,11/01/2013
29,P.S. 176 - QUEENS,SCA Capacity,Construction,In-Progress,05/13/2014,05/01/2017,
29,P.S. 176 - QUEENS,SCA Capacity,"CM,Art,F&E",In-Progress,05/13/2014,05/01/2017,
29,P.S. 176 - QUEENS,SCA CIP,Scope,Complete,11/26/2013,02/28/2014,02/28/2014
29,P.S. 176 - QUEENS,SCA CIP,Design,Complete,03/26/2014,08/08/2014,09/26/2014
29,P.S. 176 - QUEENS,SCA CIP,Construction,PNS,PNS,PNS,PNS
29,P.S. 176 - QUEENS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
29,P.S. 181 - QUEENS,SCA CIP,Scope,Complete,11/07/2014,02/12/2015,04/29/2015
29,P.S. 181 - QUEENS,SCA CIP,Design,Complete,09/09/2015,02/12/2016,08/08/2016
29,P.S. 181 - QUEENS,SCA CIP,Construction,In-Progress,02/27/2017,08/20/2018,
29,P.S. 181 - QUEENS,SCA CIP,"CM, F&E",In-Progress,02/27/2017,08/20/2018,
29,P.S. 181 - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
29,P.S. 181 - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
29,P.S. 181 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,P.S. 181 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,P.S. 181 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,09/11/2017
29,I.S. 192 THE LINDEN,DIIT - RESOA,Purch & Install,In-Progress,12/07/2017,01/15/2018,
29,I.S. 192 THE LINDEN,DIIT - RESOA,Purch & Install,In-Progress,12/07/2017,01/15/2018,
29,PATHWAYS COLL. PREP SCHOOL - Q,DIIT - RESOA,Purch & Install,Complete,08/08/2017,10/06/2017,10/06/2017
29,PATHWAYS COLL. PREP SCHOOL - Q,DOE- RESOA,Construction,In-Progress,07/13/2017,DOER,
29,P.S. 195 - QUEENS,Fast Track Projects,Construction,In-Progress,02/20/2013,FTK,
29,P.S. 195 - QUEENS,DOE- RESOA,Construction,In-Progress,09/30/2014,DOER,
29,P.S. 195 - QUEENS,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
29,I.S. 231 - QUEENS,SCA CIP RESOA,Scope,Complete,06/06/2014,09/05/2014,09/02/2014
29,I.S. 231 - QUEENS,SCA CIP RESOA,Design,Complete,09/26/2014,02/17/2015,02/25/2015
29,I.S. 231 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,I.S. 231 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,COMMUNITY VOICES MIDDLE SCHOOL,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
29,COMMUNITY VOICES MIDDLE SCHOOL,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
29,COMMUNITY VOICES MIDDLE SCHOOL,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,COMMUNITY VOICES MIDDLE SCHOOL,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,I.S. 231 - QUEENS,DOE- RESOA,Construction,In-Progress,07/15/2016,DOER,
29,I.S. 238 - QUEENS,SCA Emergency Lighti,Scope,Complete,09/12/2003,09/12/2003,09/12/2003
17,P.S. 189 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,12/16/2016,DOES,
17,P.S. 189 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,11/02/2017,DOES,
17,P.S. 191 - BROOKLYN,SCA CIP,Scope,Complete,05/11/2015,09/24/2015,12/10/2015
17,P.S. 191 - BROOKLYN,SCA CIP,Design,Complete,03/21/2016,08/18/2016,08/22/2016
17,P.S. 191 - BROOKLYN,SCA CIP,Construction,In-Progress,05/08/2017,01/17/2019,
17,P.S. 191 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,05/08/2017,01/17/2019,
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,P.S. 191 - BROOKLYN,SCA IEH,Construction,Complete,06/14/2017,IEH,08/05/2017
17,P.S. 191 - BROOKLYN,SCA IEH,Construction,Complete,08/31/2017,IEH,09/14/2017
17,P.S. 191 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,06/19/2017,07/19/2017,10/05/2017
17,I.S. 394 - BROOKLYN,SCA CIP,Scope,Complete,12/16/2013,05/02/2014,04/08/2014
17,I.S. 394 - BROOKLYN,SCA CIP,Design,Complete,05/14/2014,10/15/2014,10/09/2014
17,I.S. 394 - BROOKLYN,SCA CIP,Construction,In-Progress,10/10/2017,10/09/2018,
17,I.S. 394 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,10/10/2017,10/09/2018,
17,I.S. 394 - BROOKLYN,Fast Track Projects,Construction,In-Progress,10/26/2016,FTK,
17,I.S. 394 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,08/30/2017,DOES,
17,P.S. 241 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,P.S. 241 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,P.S. 241 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,P.S. 241 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,P.S. 241 - BROOKLYN,DOE- RESOA,Construction,In-Progress,12/05/2016,DOER,
17,I.S. 246 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,I.S. 246 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,I.S. 246 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,I.S. 246 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,I.S. 246 - BROOKLYN,SCA IEH,Construction,Complete,07/11/2017,IEH,07/28/2017
17,I.S. 246 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
17,P.S. 249 - BROOKLYN,SCA CIP,Scope,Complete,06/30/2016,02/16/2017,10/31/2016
17,P.S. 249 - BROOKLYN,SCA CIP,Design,Complete,11/01/2016,04/06/2017,05/10/2017
17,P.S. 249 - BROOKLYN,SCA CIP,Construction,In-Progress,10/10/2017,04/02/2019,
17,P.S. 249 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,10/10/2017,04/02/2019,
17,P.S. 249 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,02/16/2017,DOES,
17,P.S. 249 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,07/20/2015,DOES,
17,P.S. 289 - BROOKLYN,SCA IEH,Construction,Complete,05/30/2017,IEH,08/25/2017
17,P.S. 289 - BROOKLYN,SCA IEH,Construction,Complete,12/19/2017,IEH,12/21/2017
17,P.S. 289 - BROOKLYN,SCA Furniture & Equi,F&E,Complete,04/20/2017,F&E,11/13/2017
17,P.S. 289 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,06/19/2017,07/19/2017,08/11/2017
17,P.S. 289 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,09/01/2016,DOES,
17,P.S. 316 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,04/10/2017,07/07/2017,07/07/2017
17,P.S. 375 - BROOKLYN,SCA CIP,Scope,Complete,12/09/2014,05/12/2015,03/20/2015
17,P.S. 375 - BROOKLYN,SCA CIP,Design,Complete,04/01/2015,08/31/2015,11/04/2015
17,P.S. 375 - BROOKLYN,SCA CIP,Construction,In-Progress,02/21/2017,08/14/2018,
17,P.S. 375 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,02/21/2017,08/14/2018,
17,P.S. 375 - BROOKLYN,SCA IEH,Construction,Complete,05/01/2017,IEH,09/24/2017
17,P.S. 375 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/17/2017,01/15/2018,11/28/2017
17,M.S. 354 - BROOKLYN,SCA CIP,Scope,Complete,11/18/2015,03/23/2016,02/04/2016
17,M.S. 354 - BROOKLYN,SCA CIP,Design,Complete,02/26/2016,07/12/2016,04/20/2016
17,M.S. 354 - BROOKLYN,SCA CIP,Construction,Complete,09/01/2016,05/28/2017,09/26/2017
17,M.S. 354 - BROOKLYN,SCA CIP,"CM, F&E",Complete,09/01/2016,05/28/2017,09/26/2017
17,M.S. 354 - BROOKLYN,SCA CIP,Scope,Complete,08/31/2016,02/06/2017,10/13/2016
17,M.S. 354 - BROOKLYN,SCA CIP,Design,Complete,10/26/2016,03/31/2017,04/17/2017
17,M.S. 354 - BROOKLYN,SCA CIP,Construction,In-Progress,07/12/2017,10/04/2018,
17,M.S. 354 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,07/12/2017,10/04/2018,
17,M.S. 354 - BROOKLYN,SCA CIP,Scope,Complete,12/06/2017,04/09/2018,12/27/2017
17,M.S. 354 - BROOKLYN,SCA CIP,Design,In-Progress,12/27/2017,06/22/2018,
17,M.S. 354 - BROOKLYN,SCA CIP,Construction,PNS,PNS,PNS,PNS
17,M.S. 354 - BROOKLYN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
17,M.S. 354 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
17,M.S. 334 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
17,I.S. 722 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,I.S. 722 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,I.S. 722 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,I.S. 722 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,P.S. 397 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,P.S. 397 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,P.S. 397 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,P.S. 397 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,P.S. 770 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,P.S. 770 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,P.S. 770 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,P.S. 770 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,P.S. 398 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,08/01/2017
17,P.S. 770 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,09/01/2017
17,P.S. 770 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,08/31/2017
17,P.S. 398 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,08/30/2017,DOES,
17,P.S. 399 - BROOKLYN,SCA CIP RESOA,Scope,Complete,01/20/2016,05/04/2016,09/09/2016
17,P.S. 399 - BROOKLYN,SCA CIP RESOA,Design,Complete,11/02/2016,04/07/2017,04/18/2017
17,P.S. 399 - BROOKLYN,SCA CIP RESOA,Construction,Complete,06/20/2017,12/16/2017,12/14/2017
17,P.S. 399 - BROOKLYN,SCA CIP RESOA,"CM, F&E",Complete,06/20/2017,12/16/2017,12/14/2017
17,THE INTERNATIONAL HS - BKLYN,SCA CIP,Scope,Complete,03/24/2015,08/06/2015,08/07/2015
17,THE INTERNATIONAL HS - BKLYN,SCA CIP,Design,Complete,03/03/2016,08/02/2016,08/01/2016
17,THE INTERNATIONAL HS - BKLYN,SCA CIP,Construction,In-Progress,01/17/2017,01/16/2019,
17,THE INTERNATIONAL HS - BKLYN,SCA CIP,"CM, F&E",In-Progress,01/17/2017,01/16/2019,
17,THE INTERNATIONAL HS - BKLYN,SCA Emergency Respon,Construction,Complete,03/27/2015,EMER,07/17/2017
17,THE INTERNATIONAL HS - BKLYN,SCA Furniture & Equi,F&E,Complete,06/15/2017,F&E,08/17/2017
17,THE INTERNATIONAL HS - BROOKLY,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
17,HS FOR GLOBAL CITIZENSHIP - K,DIIT - RESOA,Purch & Install,Complete,06/21/2017,07/21/2017,10/05/2017
17,PROSPECT HEIGHTS H.S.,DOE - Lead Paint,Construction,Complete,06/06/2017,DOEL,07/25/2017
17,HS FOR GLOBAL CITIZENSHIP - K,DOE- RESOA,Construction,In-Progress,03/10/2017,DOER,
17,BROOKLYN ACADEMY HS - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,02/07/2017,DOES,
17,I.S. 382 - BROOKLYN,SCA CIP,Scope,Complete,09/13/2016,01/17/2017,01/18/2017
17,I.S. 382 - BROOKLYN,SCA CIP,Design,Complete,01/18/2017,07/18/2017,05/12/2017
17,I.S. 382 - BROOKLYN,SCA CIP,Construction,In-Progress,08/14/2017,06/09/2018,
17,I.S. 382 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,08/14/2017,06/09/2018,
17,I.S. 382 - BROOKLYN,SCA CIP,Scope,Complete,10/13/2016,03/03/2017,03/17/2017
17,I.S. 382 - BROOKLYN,SCA CIP,Design,In-Progress,07/06/2017,12/11/2017,
17,I.S. 382 - BROOKLYN,SCA CIP,Construction,PNS,PNS,PNS,PNS
17,I.S. 382 - BROOKLYN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
17,SCIENCE TECH & RESEARCH - K,SCA CIP RESOA,Scope,Complete,02/05/2015,06/08/2015,04/14/2015
17,SCIENCE TECH & RESEARCH - K,SCA CIP RESOA,Design,Complete,02/10/2016,07/12/2016,06/03/2016
17,SCIENCE TECH & RESEARCH - K,SCA CIP RESOA,Construction,Complete,12/06/2016,09/01/2017,09/01/2017
17,SCIENCE TECH & RESEARCH - K,SCA CIP RESOA,"CM, F&E",Complete,12/06/2016,09/01/2017,09/01/2017
17,I.S. 382 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
17,I.S. 382 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
17,I.S. 382 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,I.S. 382 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
17,SCIENCE TECHNOLOGY & RESEARCH,SCA CIP RESOA,Scope,Complete,09/28/2011,02/02/2012,11/15/2011
17,SCIENCE TECHNOLOGY & RESEARCH,SCA CIP RESOA,Design,Complete,11/16/2011,04/19/2012,05/09/2012
17,SCIENCE TECHNOLOGY & RESEARCH,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
17,SCIENCE TECHNOLOGY & RESEARCH,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,I.S. 238 - QUEENS,SCA Emergency Lighti,Design,Complete,12/01/2004,05/15/2005,04/18/2005
29,I.S. 238 - QUEENS,SCA Emergency Lighti,Construction,In-Progress,12/01/2005,06/25/2006,
29,I.S. 238 - QUEENS,SCA Emergency Lighti,CM,In-Progress,12/01/2005,06/25/2006,
29,I.S. 238 - QUEENS,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
29,P.S. /I.S 295 - QUEENS,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
29,P.S. 268 - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
29,P.S. 268 - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
29,P.S. 268 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,P.S. 268 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,P.S. 268 - QUEENS,DIIT - RESOA,Purch & Install,Complete,06/19/2017,01/15/2018,08/25/2017
29,Q009 SPED - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/22/2017,01/15/2018,11/27/2017
29,P.S. 268 - QUEENS,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
29,P.S. / I.S. 270 - QUEENS,SCA CIP,Scope,Complete,07/14/2014,11/28/2014,11/26/2014
29,P.S. / I.S. 270 - QUEENS,SCA CIP,Design,Complete,04/06/2015,09/03/2015,08/27/2015
29,P.S. / I.S. 270 - QUEENS,SCA CIP,Construction,In-Progress,10/17/2016,01/09/2018,
29,P.S. / I.S. 270 - QUEENS,SCA CIP,"CM, F&E",In-Progress,10/17/2016,01/09/2018,
29,P.S. / I.S. 270 - QUEENS,DIIT - RESOA,Purch & Install,Complete,06/05/2017,07/05/2017,07/21/2017
29,P.S. / I.S. 270 - QUEENS,DOE- RESOA,Construction,In-Progress,06/13/2016,DOER,
29,EXCELSIOR PREP HIGH SCHOOL - Q,SCA CIP,Scope,Complete,01/16/2015,06/03/2015,06/03/2015
29,EXCELSIOR PREP HIGH SCHOOL - Q,SCA CIP,Design,Complete,07/27/2015,12/29/2015,12/02/2015
29,EXCELSIOR PREP HIGH SCHOOL - Q,SCA CIP,Construction,In-Progress,08/15/2016,02/05/2018,
29,EXCELSIOR PREP HIGH SCHOOL - Q,SCA CIP,"CM, F&E",In-Progress,08/15/2016,02/05/2018,
29,G. WASHINGTON CARVER HS FOR SC,SCA CIP,Scope,Complete,10/27/2017,03/02/2018,11/17/2017
29,G. WASHINGTON CARVER HS FOR SC,SCA CIP,Design,In-Progress,11/17/2017,05/16/2018,
29,G. WASHINGTON CARVER HS FOR SC,SCA CIP,Construction,PNS,PNS,PNS,PNS
29,G. WASHINGTON CARVER HS FOR SC,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
29,LYFE PROGRAM,SCA CIP RESOA,Scope,Complete,10/03/2017,01/05/2018,12/13/2017
29,LYFE PROGRAM,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
29,LYFE PROGRAM,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,LYFE PROGRAM,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,EXCELSIOR PREP HIGH SCHOOL - Q,SCA CIP RESOA,Scope,Complete,01/27/2017,03/28/2017,06/05/2017
29,EXCELSIOR PREP HIGH SCHOOL - Q,SCA CIP RESOA,Design,Complete,06/05/2017,11/03/2017,12/01/2017
29,EXCELSIOR PREP HIGH SCHOOL - Q,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,EXCELSIOR PREP HIGH SCHOOL - Q,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,G. WASHINGTON CARVER HS FOR SC,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,09/13/2017
29,QUEENS PREPARATORY ACADEMY - Q,DIIT - RESOA,Purch & Install,Complete,04/28/2017,01/15/2018,08/16/2017
29,INSTITUTE FOR HEALTH PROFESSIO,SCA CIP,Scope,Complete,09/25/2017,01/29/2018,10/26/2017
29,INSTITUTE FOR HEALTH PROFESSIO,SCA CIP,Design,In-Progress,10/26/2017,04/25/2018,
29,INSTITUTE FOR HEALTH PROFESSIO,SCA CIP,Construction,PNS,PNS,PNS,PNS
29,INSTITUTE FOR HEALTH PROFESSIO,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
29,JACKSON HS,SCA Emergency Lighti,Scope,Complete,09/12/2003,09/12/2003,09/12/2003
29,JACKSON HS,SCA Emergency Lighti,Design,Complete,12/01/2004,05/15/2005,04/18/2005
29,JACKSON HS,SCA Emergency Lighti,Construction,In-Progress,10/18/2005,06/18/2006,
29,JACKSON HS,SCA Emergency Lighti,CM,In-Progress,10/18/2005,06/18/2006,
29,"MATH, SCI., RESEARCH & TECH. H",SCA IEH,Construction,Complete,07/31/2017,IEH,08/25/2017
29,"MATH, SCI., RESEARCH & TECH. H",SCA IEH,Construction,In-Progress,08/30/2017,IEH,
29,"MATH, SCI., RESEARCH & TECH. H",Fast Track Projects,Construction,In-Progress,07/21/2016,FTK,
29,HUMANITIES & THE ARTS HS - Q,DIIT - RESOA,Purch & Install,Complete,05/11/2017,01/15/2018,08/28/2017
29,"MATH, SCI., RESEARCH & TECH. H",DOE- RESOA,Construction,PNS,PNS,PNS,PNS
29,Q811 SPED - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
29,Q811 SPED - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
29,Q811 SPED - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
29,Q811 SPED - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
29,P.S. 360 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/11/2017,01/15/2018,08/07/2017
30,P.S. 2 - QUEENS,SCA CIP RESOA,Scope,Complete,09/29/2014,02/18/2015,05/06/2015
30,P.S. 2 - QUEENS,SCA CIP RESOA,Design,Complete,06/02/2015,11/18/2015,11/02/2015
30,P.S. 2 - QUEENS,SCA CIP RESOA,Construction,In-Progress,10/11/2016,10/10/2017,
30,P.S. 2 - QUEENS,SCA CIP RESOA,"CM, F&E",In-Progress,10/11/2016,10/10/2017,
30,P.S. 2 - QUEENS,Trust For Public Lan,Scope,PNS,PNS,PNS,PNS
30,P.S. 2 - QUEENS,Trust For Public Lan,Design,PNS,PNS,PNS,PNS
30,P.S. 2 - QUEENS,Trust For Public Lan,Construction,PNS,PNS,PNS,PNS
30,P.S. 2 - QUEENS,Trust For Public Lan,F&E,PNS,PNS,PNS,PNS
30,I.S. 10 - QUEENS,SCA CIP,Scope,Complete,11/01/2017,03/07/2018,11/29/2017
30,I.S. 10 - QUEENS,SCA CIP,Design,In-Progress,11/29/2017,05/25/2018,
30,I.S. 10 - QUEENS,SCA CIP,Construction,PNS,PNS,PNS,PNS
30,I.S. 10 - QUEENS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
30,I.S. 10 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/26/2017,07/10/2017,09/27/2017
30,I.S. 10 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/26/2017,01/15/2018,09/27/2017
30,I.S. 10 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/26/2017,01/15/2018,09/27/2017
30,P.S. 11 - QUEENS,SCA Capacity,Scope,Complete,01/14/2013,06/12/2013,09/13/2013
30,P.S. 11 - QUEENS,SCA Capacity,Design,Complete,09/16/2013,01/07/2014,05/21/2014
30,P.S. 11 - QUEENS,SCA Capacity,Construction,In-Progress,09/29/2014,10/17/2018,
30,P.S. 11 - QUEENS,SCA Capacity,"CM,Art,F&E",In-Progress,09/29/2014,10/17/2018,
30,P.S. 11 - QUEENS,DIIT - RESOA,Purch & Install,Complete,06/21/2017,07/21/2017,10/02/2017
30,THE 30TH AVENUE SCHOOL,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,08/21/2017
30,THE 30TH AVENUE SCHOOL,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,08/21/2017
30,P.S. 17 - QUEENS,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
30,P.S. 69 - QUEENS,SCA CIP,Scope,Complete,03/24/2016,08/08/2016,11/08/2016
30,P.S. 69 - QUEENS,SCA CIP,Design,Complete,02/08/2017,07/11/2017,08/31/2017
