Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
2,HS FOR ENVIRONMENTAL STUDIES,SCA Furniture & Equi,F&E,PNS,PNS,PNS,PNS
2,HS FOR ENVIRONMENTAL STUDIES -,DOE - Skilled Trades,Construction,In-Progress,03/11/2017,DOES,
2,M721 SPED - MANHATTAN,SCA IEH,Construction,Complete,08/11/2017,IEH,12/02/2017
2,P.S. 343 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
2,BARUCH COLLEGE CAMPUS HS - M,SCA IEH,Construction,Complete,10/13/2017,IEH,10/15/2017
2,BARUCH COLLEGE CAMPUS HS - M,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
2,NEW YORK HARBOR SCHOOL - MANHA,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
2,HARVEST COLLEGIATE HIGH SCHOOL,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
2,HS FOR LEADERSHIP & PUBLIC SER,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
2,HS FOR LEADERSHIP & PUBLIC SER,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
2,HS FOR LEADERSHIP & PUBLIC SER,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
2,HS FOR LEADERSHIP & PUBLIC SER,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
2,SATELLITE ACADEMY - M,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
2,CITY KNOLL MIDDLE SCHOOL,SCA IEH,Construction,Complete,06/22/2017,IEH,10/03/2017
2,CITY KNOLL MIDDLE SCHOOL,SCA IEH,Construction,Complete,08/24/2017,IEH,09/01/2017
3,P.S. 9 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 9 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 9 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 9 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 9 - MANHATTAN,SCA CIP RESOA,Scope,In-Progress,12/13/2017,02/13/2018,
3,P.S. 9 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,P.S. 9 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,P.S. 9 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 9 - MANHATTAN,SCA IEH,Construction,Complete,05/30/2017,IEH,11/16/2017
3,P.S. 9 - MANHATTAN,SCA IEH,Construction,Complete,11/03/2017,IEH,11/25/2017
3,I.S. 243 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
3,P.S. 9 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
3,I.S. 245 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,I.S. 245 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
3,I.S. 245 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
3,I.S. 245 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
3,P.S. 334 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
3,P.S. 334 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
